OBSID,MJD,V,V_ERR,B,B_ERR,U,U_ERR,UVW1,UVW1_ERR,UVM2,UVM2_ERR,UVW2,UVW2_ERR,SOFT,SOFT_ERR,HARD,HARD_ERR,FULL,FULL_ERR,HR,HR_ERR,XRT_BAD,FULL_UL
00035473001,53769.9558638129,,,,,,,,,,,1.9693045616149902,0.36820852756500244,0.076847,0.079427,0.319681,0.16115,0.3965037,0.3675853,4.159947,4.783737,True,False
00035473002,53907.5424943371,,,8.84672737121582,0.14036449790000916,,,,,,,,,0.047124,0.002901,0.056505,0.003176,0.1031279,0.008582116,1.199083,0.099942,False,False
00036555001,54427.7994798415,,,8.666009902954102,0.15826325118541718,,,,,,,,,0.040289,0.003513,0.045237,0.003717,0.08465519,0.010178556,1.122804,0.134525,False,False
00036555002,54439.5280985854,,,8.884506225585938,0.17464029788970947,,,,,,,,,0.052696,0.004373,0.05844,0.004727,0.1111418,0.012874778,1.109003,0.128515,False,False
00031442001,55064.1156150141,,,,,5.85599946975708,0.09152206033468246,,,,,,,0.03616,0.006946,0.037178,0.007049,0.07333744,0.019793274,1.028153,0.277514,False,False
00031442002,55064.6376835673,,,,,5.776264190673828,0.07745730131864548,,,,,,,0.034579,0.010188,0.016801,0.007187,0.0513792,0.02493556,0.485865,0.252364,False,False
00031442003,55065.1190603265,,,,,,,,,,,1.8544447422027588,0.04536445066332817,0.025177,0.005794,0.040697,0.007335,0.06457856,0.018514904,1.616452,0.472512,False,False
00031442004,55065.7145843659,,,,,,,,,,,1.963450312614441,0.042568400502204895,0.034586,0.006415,0.037596,0.006702,0.07218156,0.018554292,1.087023,0.279637,False,False
00031442005,55066.5134538838,,,,,,,,,1.21135413646698,0.03382990509271622,,,0.04218,0.00708,0.043645,0.007194,0.08466456,0.02005276,1.034746,0.243418,False,False
00031442006,55066.9248044278,,,,,,,,,1.107724666595459,0.03331734612584114,,,0.033664,0.006387,0.033783,0.006395,0.06626225,0.017919642,1.003513,0.268939,False,False
00031442007,55067.4470581431,,,,,,,2.1156320571899414,0.04628237709403038,,,,,0.02923,0.009428,0.037074,0.010562,0.0663017,0.02831416,1.268335,0.545816,False,False
00031442008,55067.9167352189,,,,,,,2.146911859512329,0.045035094022750854,,,,,0.033868,0.006278,0.038268,0.006687,0.07213606,0.01834494,1.1299,0.287846,False,False
00031442009,55068.5277864342,,,,,5.9553914070129395,0.0744660273194313,,,,,,,0.044107,0.006553,0.033584,0.005726,0.07671848,0.017295912,0.761417,0.172197,False,False
00031442010,55068.9937815499,,,,,,,,,,,1.9442086219787598,0.0447421632707119,0.040653,0.007193,0.039333,0.007082,0.0799866,0.02018932,0.967521,0.244248,False,False
00031442011,55069.0628426263,,,,,,,,,,,1.9132311344146729,0.04574571177363396,0.029854,0.006341,0.040299,0.007361,0.07015304,0.01943109,1.349887,0.378157,False,False
00031442012,55069.4597206703,,,,,,,,,,,1.9059160947799683,0.041894324123859406,0.045759,0.007241,0.040909,0.006888,0.0866683,0.019987636,0.89399,0.206569,False,False
00031442013,55098.4825523941,,,,,,,,,1.0917452573776245,0.03408080339431763,,,0.047561,0.007812,0.035091,0.006721,0.08265229,0.02061002,0.7378,0.186152,False,False
00031442014,55099.5863640261,,,,,,,2.16339373588562,0.040152110159397125,,,,,0.039612,0.005966,0.044199,0.006323,0.08381125,0.017385774,1.115808,0.231769,False,False
00031442015,55100.1198568073,,,,,5.753669738769531,0.07156098634004593,,,,,,,0.042643,0.006416,0.035355,0.005822,0.07611344,0.017120614,0.829089,0.184928,False,False
00031442017,55121.1012734027,,,,,5.694220066070557,0.06178173050284386,,,,,,,0.040876,0.003931,0.046984,0.004207,0.08750243,0.011492962,1.149411,0.151027,False,False
00031442018,55122.0073443981,,,,,,,,,,,,,0.046467,0.010768,0.058649,0.01215,0.1051165,0.03246984,1.262183,0.392333,False,False
00031442019,55122.6755904282,,,,,,,,,1.2204010486602783,0.03687094524502754,,,0.04317,0.007832,0.050496,0.008486,0.09225819,0.02292406,1.169682,0.289268,False,False
00031442020,55144.3963780629,,,,,5.4855780601501465,0.07728501409292221,,,,,,,0.050005,0.00772,0.034714,0.006464,0.08356881,0.01999284,0.694196,0.167911,False,False
00031442021,55144.905497056,,,,,5.598720073699951,0.10438106954097748,,,,,,,0.046277,0.010818,0.031941,0.009096,0.07822083,0.02826662,0.690211,0.254293,False,False
00031442024,55169.5136378831,,,,,,,,,,,1.1870416402816772,0.03478322923183441,0.053107,0.007827,0.043926,0.007119,0.09703247,0.02116124,0.827114,0.181195,False,False
00031442025,55170.5147818878,,,,,,,,,1.1483559608459473,0.03978632763028145,,,0.052882,0.011704,0.047854,0.011116,0.1007363,0.03228358,0.904918,0.290344,False,False
00031442026,55171.1181697487,,,,,,,2.1475892066955566,0.05113589018583298,,,,,0.033844,0.008855,0.026669,0.007838,0.0605126,0.02364994,0.78799,0.310051,False,False
00031442027,55172.1222431514,,,,,5.609175682067871,0.086506187915802,,,,,,,0.043328,0.008806,0.04821,0.009227,0.08972556,0.02524972,1.112674,0.310622,False,False
00031442028,55181.6984812055,,,,,,,,,,,1.6664376258850098,0.043293312191963196,0.047757,0.007938,0.053128,0.00837,0.1008845,0.02307034,1.112466,0.254765,False,False
00031442029,55182.3648709277,,,,,,,,,1.2039355039596558,0.033970579504966736,,,0.039806,0.006892,0.038256,0.006777,0.07806109,0.019331156,0.96107,0.238061,False,False
00031442030,55183.5671614735,,,,,,,2.223773717880249,0.05057239532470703,,,,,0.051835,0.0085,0.047521,0.008145,0.09935618,0.02354466,0.916767,0.21746,False,False
00031442031,55184.5703473763,,,,,5.647752285003662,0.08130362629890442,,,,,,,0.040015,0.006858,0.039879,0.006826,0.0798944,0.019350764,0.996594,0.241379,False,False
00031442032,55185.105637274,,,,,,,,,,,1.7884421348571777,0.03919980302453041,0.053358,0.008424,0.046946,0.007928,0.1003036,0.02313482,0.879826,0.203391,False,False
00045803001,56210.6216599709,,,7.891563415527344,0.28682664036750793,,,,,,,,,0.058984,0.003587,0.044571,0.003129,0.1033575,0.009512752,0.755645,0.070193,False,False
00045803002,56216.496668015,,,8.241644859313965,0.2862979769706726,,,,,,,,,0.087738,0.008917,0.107131,0.010491,0.1932727,0.02739486,1.221036,0.172328,False,False
00080310001,56277.7121215286,,,,,,,,,,,1.7752373218536377,0.029868656769394875,0.049744,0.005347,0.054704,0.005609,0.104448,0.015498682,1.099696,0.163361,False,False
00080310002,56283.8870893253,,,,,,,1.9342564344406128,0.034534864127635956,,,,,0.051131,0.005951,0.054461,0.006159,0.104873,0.017066912,1.065128,0.172853,False,False
00031442034,56453.8854115579,,,,,,,,,,,1.7414793968200684,0.03609132021665573,0.043818,0.006359,0.045753,0.006489,0.08957156,0.018171022,1.044152,0.211879,False,False
00031442035,56454.4499083068,,,,,,,,,1.0514625310897827,0.03403209149837494,,,0.044928,0.006132,0.043995,0.006047,0.08729326,0.01706967,0.979248,0.189686,False,False
00031442036,56455.650009338,,,,,,,1.8897757530212402,0.03967435285449028,,,,,0.036758,0.006021,0.055827,0.007408,0.09258331,0.019093162,1.518759,0.320173,False,False
00031442037,56456.0843830093,,,,,5.342063903808594,0.07065736502408981,,,,,,,0.041593,0.00569,0.040322,0.005592,0.08191509,0.015956058,0.969436,0.188851,False,False
00031442038,56457.0575376748,,,,,,,,,,,1.6173183917999268,0.034237340092659,0.035485,0.005707,0.061015,0.007438,0.09650022,0.018750906,1.719452,0.347016,False,False
00031442039,56458.1920494595,,,,,,,,,1.067784309387207,0.02834196947515011,,,0.044559,0.006527,0.045418,0.006598,0.08997706,0.018562582,1.019294,0.210291,False,False
00031442040,56459.1201336158,,,,,,,1.8884167671203613,0.0380493588745594,,,,,0.038312,0.005897,0.046583,0.006478,0.08398129,0.017424744,1.215899,0.252226,False,False
00031442041,56460.7926657362,,,,,5.395697116851807,0.05621981620788574,,,,,,,0.048439,0.005189,0.048647,0.005205,0.09709467,0.014699532,1.00428,0.152056,False,False
00031442042,56461.3883258183,,,,,,,,,,,1.687274694442749,0.03678315505385399,0.05616,0.00751,0.055867,0.007489,0.1110381,0.02112004,0.994769,0.188361,False,False
00031442043,56462.5208346274,,,,,,,,,1.068112850189209,0.02766033262014389,,,0.057742,0.006324,0.041331,0.00535,0.09907247,0.01656669,0.715786,0.121365,False,False
00031442044,56463.8616336922,,,,,,,1.8731118440628052,0.038810908794403076,,,,,0.050796,0.006896,0.041021,0.006191,0.09089772,0.018442364,0.807557,0.163925,False,False
00031442045,56464.830388948,,,,,5.468576431274414,0.07143838703632355,,,,,,,0.045715,0.006466,0.038013,0.005881,0.08282048,0.017382936,0.831512,0.174299,False,False
00031442046,56465.8645426771,,,,,,,,,,,1.6258803606033325,0.035699304193258286,0.042067,0.006748,0.041548,0.006683,0.08363012,0.018994896,0.987668,0.224374,False,False
00031442047,56466.1250385695,,,,,,,,,1.121255874633789,0.029504580423235893,,,0.051721,0.00715,0.039361,0.006231,0.09108213,0.01896763,0.761039,0.159942,False,False
00031442048,56467.1271220892,,,,,,,1.9586187601089478,0.03988125920295715,,,,,0.034251,0.005915,0.040309,0.006407,0.07457603,0.017439618,1.176877,0.276223,False,False
00031442049,56468.2593398577,,,,,-1.0214978456497192,0.009118608199059963,,,,,,,0.045724,0.006793,0.037209,0.00613,0.08293249,0.01829936,0.813769,0.18052,False,False
00031442050,56469.0635212477,,,,,,,,,,,1.638568639755249,0.0345216765999794,0.046687,0.007644,0.039815,0.006919,0.08650732,0.02061862,0.852804,0.20362,False,False
00031442051,56470.4924630429,,,,,,,,,1.0135153532028198,0.05794593691825867,,,0.048236,0.006534,0.031369,0.005277,0.07960411,0.016798116,0.650325,0.14046,False,False
00031442052,56471.0618823739,,,,,,,1.9574639797210693,0.03956757113337517,,,,,0.042745,0.008677,0.037281,0.008056,0.08002645,0.02368074,0.872174,0.258592,False,False
00031442053,56472.1990331389,,,,,5.370969772338867,0.06889227032661438,,,,,,,0.053907,0.007137,0.041128,0.006227,0.09503461,0.018944026,0.76294,0.153454,False,False
00031442054,56473.9307677026,,,,,,,,,,,1.65936279296875,0.0348881334066391,0.040611,0.006204,0.039832,0.00613,0.08044277,0.017443212,0.980831,0.212688,False,False
00031442055,56474.1378209433,,,,,,,,,1.0822319984436035,0.028274038806557655,,,0.046529,0.006603,0.044571,0.006496,0.09110001,0.018525988,0.95792,0.194869,False,False
00031442056,56475.9333356563,,,,,,,1.9131804704666138,0.03473794832825661,,,,,0.039578,0.005533,0.038789,0.005456,0.07836782,0.015540376,0.98007,0.194352,False,False
00031442057,56476.9398978797,,,,,5.565177917480469,0.06888340413570404,,,,,,,0.037705,0.005663,0.043602,0.006076,0.08130789,0.016611982,1.156397,0.236924,False,False
00031442058,56477.9344631829,,,,,,,,,,,1.6317576169967651,0.033710915595293045,0.035185,0.005685,0.042554,0.006239,0.0768484,0.016786852,1.209431,0.263869,False,False
00031442059,56478.2412461227,,,,,,,,,1.1106384992599487,0.05826917663216591,,,0.037807,0.006004,0.040083,0.006139,0.07789008,0.017174392,1.060206,0.233919,False,False
00031442060,56479.6707297234,,,,,,,1.952559232711792,0.03755307197570801,,,,,0.02903,0.005295,0.02718,0.005119,0.05621036,0.014729404,0.936259,0.245465,False,False
00031442061,56480.9355256401,,,,,5.427446365356445,0.06851068139076233,,,,,,,0.03972,0.006449,0.042613,0.006691,0.08233242,0.01858582,1.072843,0.242319,False,False
00031442062,56482.0104027489,,,,,,,,,,,,,0.026069,0.005524,0.035522,0.006419,0.06160181,0.016936436,1.362648,0.379458,False,False
00031442063,56484.9469564445,,,,,5.365253925323486,0.0738314762711525,,,,,,,0.03075,0.005719,0.026541,0.005325,0.05729046,0.015629072,0.86313,0.23614,False,False
00031442064,56486.0804870602,,,,,,,,,1.0337605476379395,0.026244137436151505,,,0.049486,0.007019,0.04068,0.006363,0.08918661,0.01884572,0.822061,0.173574,False,False
00031442065,56488.9477031517,,,,,5.4022417068481445,0.06822922080755234,,,,,,,0.055852,0.007222,0.042,0.006283,0.09788226,0.019145572,0.751998,0.1487,False,False
00031442066,56490.6178317755,,,,,,,,,1.1178733110427856,0.04451040178537369,,,0.03891,0.009296,0.030104,0.008226,0.06901462,0.02482728,0.773699,0.280841,False,False
00031442067,56492.8828368831,,,,,5.426136493682861,0.07194109261035919,,,,,,,0.038006,0.006508,0.054658,0.007803,0.09041785,0.0200721,1.438163,0.320634,False,False
00031442068,56494.0527009017,,,,,,,,,1.094961166381836,0.030477557331323624,,,0.053384,0.008475,0.05762,0.008787,0.1097336,0.0242801,1.079333,0.237606,False,False
00031442069,56496.7899425822,,,,,5.457578182220459,0.06573613733053207,,,,,,,0.037392,0.00633,0.052507,0.007482,0.08989821,0.019599736,1.404216,0.3107,False,False
00031442070,56504.8568382755,,,,,5.411457538604736,0.12262599170207977,,,,,,,0.046531,0.013597,0.034874,0.011859,0.08140588,0.03608368,0.749486,0.336036,False,False
00031442071,56505.9201626771,,,,,,,,,,,1.730739712715149,0.037289295345544815,0.030336,0.005578,0.03402,0.005813,0.06437145,0.016113608,1.121467,0.281516,False,False
00031442072,56506.6850599456,,,,,,,,,1.0696183443069458,0.026358017697930336,,,0.048049,0.006712,0.047384,0.006607,0.09544725,0.018836282,0.986168,0.194646,False,False
00031442073,56507.3874955255,,,,,,,2.011685848236084,0.04098186269402504,,,,,0.045334,0.009015,0.070685,0.011211,0.1143327,0.02857496,1.559203,0.396604,False,False
00031442074,56508.9916462454,,,,,5.52702522277832,0.0737878829240799,,,,,,,0.036103,0.005919,0.051618,0.007031,0.08772049,0.018380674,1.429745,0.304739,False,False
00031442075,56509.3215297639,,,,,,,,,,,1.797206997871399,0.037654291838407516,0.04253,0.006907,0.052332,0.007688,0.09486232,0.02066962,1.230464,0.269455,False,False
00031442076,56510.99061597,,,,,,,,,1.0931211709976196,0.02735334448516369,,,0.038921,0.006188,0.035112,0.005869,0.07403319,0.017057892,0.90213,0.20812,False,False
00031442077,56511.2520602292,,,,,,,1.9336352348327637,0.0362602099776268,,,,,0.048826,0.006735,0.043747,0.006434,0.09257442,0.018628494,0.895989,0.180666,False,False
00031442078,56512.7909624873,,,,,5.449339389801025,0.07199851423501968,,,,,,,0.037863,0.006083,0.047596,0.0068,0.08545848,0.018247214,1.257057,0.270255,False,False
00031442079,56513.0553372338,,,,,,,,,,,1.7926347255706787,0.03683071956038475,0.038459,0.009605,0.038506,0.009554,0.07696623,0.0270953,1.001215,0.352475,False,False
00031442080,56514.1897105452,,,,,,,,,1.0800786018371582,0.027955209836363792,,,0.0513,0.007221,0.036233,0.006081,0.08553792,0.018668544,0.706302,0.154708,False,False
00031442081,56515.6578596436,,,,,,,2.0136635303497314,0.03884325549006462,,,,,0.066138,0.007963,0.046578,0.006703,0.1108372,0.02064674,0.704251,0.13214,False,False
00031442082,56516.9277785811,,,,,5.509047508239746,0.14270161092281342,,,,,,,0.039716,0.012764,0.051247,0.014424,0.09096282,0.0385213,1.290335,0.551252,False,False
00031442083,56517.9252101679,,,,,,,,,,,1.74906587600708,0.0357230119407177,0.034491,0.007666,0.027973,0.00698,0.06246511,0.0207354,0.811024,0.271021,False,False
00031442084,56518.1305752952,,,,,,,,,1.068015217781067,0.028906505554914474,,,0.044712,0.006643,0.055858,0.007392,0.1005699,0.019876168,1.249294,0.248562,False,False
00031442085,56519.5203276111,,,,,,,1.9922435283660889,0.04392411559820175,,,,,0.052863,0.009275,0.040587,0.007922,0.09199082,0.02421372,0.767764,0.201501,False,False
00031442086,56520.7292832373,,,,,5.43787956237793,0.08136479556560516,,,,,,,0.056551,0.008814,0.051012,0.008386,0.1075627,0.02433272,0.902046,0.204349,False,False
00031442087,56521.9278802304,,,,,,,,,,,1.750854253768921,0.03551280125975609,0.048209,0.00679,0.04476,0.006541,0.09109218,0.018668388,0.928449,0.188436,False,False
00031442088,56522.8655688299,,,,,,,,,,,,,0.056393,0.007316,0.046083,0.006616,0.1024756,0.019727742,0.817166,0.158123,False,False
00031442089,56523.8031294908,,,,,,,1.9241178035736084,0.03859364241361618,,,,,0.045143,0.006334,0.064261,0.007561,0.1085433,0.0196507,1.423517,0.260685,False,False
00031442090,56524.6975632651,,,,,5.644660472869873,0.06842710077762604,,,,,,,0.056211,0.007061,0.063711,0.007484,0.1190491,0.02050406,1.133423,0.19493,False,False
00031442091,56525.8237256274,,,,,,,,,,,1.6046643257141113,0.034741103649139404,0.070044,0.008496,0.053997,0.007462,0.1240568,0.0226164,0.770898,0.141755,False,False
00031442092,56526.6940199109,,,,,,,,,1.1493406295776367,0.028718557208776474,,,0.038911,0.008221,0.042354,0.009274,0.08115988,0.02468234,1.088493,0.331213,False,False
00031442093,56527.9451261517,,,,,,,,,,,,,0.053853,0.015241,0.057456,0.015758,0.1113092,0.04384586,1.066905,0.42047,False,False
00031442094,56528.8731860822,,,,,5.668160438537598,0.0655447244644165,,,,,,,0.062484,0.010272,0.062789,0.010349,0.1252733,0.02916252,1.004888,0.23393,False,False
00031442095,56529.2807048218,,,,,,,,,,,1.787460207939148,0.03674148768186569,0.067442,0.007908,0.057562,0.007259,0.1250039,0.02146936,0.8535,0.146972,False,False
00031442096,56530.9439011193,,,,,,,,,1.0544095039367676,0.04148364067077637,,,0.042482,0.009519,0.036803,0.008849,0.0792848,0.02599438,0.86632,0.284737,False,False
00031442097,56531.316115853,,,,,,,2.0194263458251953,0.03957149758934975,,,,,0.050646,0.006954,0.054297,0.007161,0.1040955,0.019890264,1.072083,0.204117,False,False
00031442098,56532.0819233542,,,,,5.49272346496582,0.07266393303871155,,,,,,,0.047589,0.006846,0.04768,0.006846,0.09432386,0.019264032,1.001912,0.203632,False,False
00031442099,56533.5492750799,,,,,,,,,,,1.751412272453308,0.03915459290146828,0.050507,0.007377,0.052094,0.007547,0.1026014,0.02110734,1.031411,0.212191,False,False
00031442100,56534.111727963,,,,,,,,,1.0813877582550049,0.027422573417425156,,,0.041025,0.005904,0.0439,0.006111,0.08406233,0.016906352,1.070082,0.214249,False,False
00031442101,56535.8846411933,,,,,,,2.044616937637329,0.07018569111824036,,,,,0.064266,0.014178,0.036164,0.010642,0.1004283,0.03545584,0.562727,0.206969,False,False
00031442102,56536.5449162524,,,,,,,,,,,,,0.053562,0.009354,0.047546,0.008809,0.1011083,0.02569778,0.887686,0.226008,False,False
00031442103,56537.2787198299,,,,,,,,,,,1.717360496520996,0.03475204110145569,0.05601,0.00679,0.047164,0.006236,0.1031867,0.01843764,0.842063,0.151048,False,False
00031442104,56538.3434879086,,,,,,,,,1.0352646112442017,0.03389550372958183,,,0.060536,0.009276,0.059445,0.009165,0.1185459,0.02592106,0.98199,0.213452,False,False
00031442105,56539.3475399931,,,,,,,1.940114140510559,0.03824949264526367,,,,,0.068939,0.00791,0.064486,0.00764,0.1334251,0.02199446,0.935406,0.154277,False,False
00031442106,56540.5440324827,,,,,5.427148342132568,0.06635323166847229,,,,,,,0.06753,0.007807,0.076935,0.008296,0.1444651,0.02278274,1.139274,0.180102,False,False
00031442107,56541.5462618357,,,,,,,,,,,1.749436855316162,0.03599591553211212,0.052892,0.007014,0.058725,0.00741,0.1116174,0.02040708,1.110278,0.203243,False,False
00031442108,56542.8121427165,,,,,,,,,1.0917426347732544,0.026387115940451622,,,0.055533,0.007269,0.046898,0.006662,0.1024314,0.019720738,0.844517,0.163136,False,False
00031442109,56543.548144904,,,,,,,1.9952137470245361,0.038439005613327026,,,,,0.034776,0.005675,0.051665,0.006914,0.08645426,0.017888828,1.485651,0.313522,False,False
00031442110,56546.3832067709,,,,,,,,,1.0773149728775024,0.026527492329478264,,,0.036229,0.005519,0.040775,0.005766,0.07621195,0.015884122,1.125501,0.233946,False,False
00031442111,56554.9120467894,,,,,,,,,1.066774606704712,0.025683598592877388,,,0.042349,0.005802,0.047988,0.006164,0.09035003,0.016929746,1.133153,0.212802,False,False
00031442112,56556.0787600081,,,,,5.583034992218018,0.0661059319972992,,,,,,,0.037139,0.005368,0.047755,0.006084,0.08489371,0.016226396,1.285832,0.24773,False,False
00031442113,56558.0495295348,,,,,,,,,1.0558401346206665,0.027814358472824097,,,0.050873,0.006761,0.054452,0.006999,0.1053245,0.019462606,1.070354,0.197897,False,False
00031442114,56560.1749926146,,,,,5.414372444152832,0.31115347146987915,,,,,,,0.034906,0.026035,0.0,0.0,0.18263,0.0,0.0,,True,True
00031442115,56562.1222117477,,,,,,,,,1.04030442237854,0.028414741158485413,,,0.040779,0.006171,0.040061,0.006105,0.08083979,0.017360804,0.982378,0.210976,False,False
00031442116,56564.989133845,,,,,5.363142967224121,0.09250352531671524,,,,,,,0.033512,0.007619,0.035205,0.007782,0.0687176,0.02178194,1.050523,0.333123,False,False
00031442117,56566.5189197246,,,,,,,,,1.0502828359603882,0.02749565802514553,,,0.041319,0.006035,0.040327,0.005946,0.08164597,0.016943624,0.976001,0.202554,False,False
00031442118,56568.7202335348,,,,,5.436734199523926,0.07125112414360046,,,,,,,0.037304,0.006216,0.049405,0.007153,0.08670976,0.018952446,1.324384,0.292338,False,False
00031442119,56570.8575298669,,,,,,,,,1.0687222480773926,0.032923374325037,,,0.052321,0.009714,0.044839,0.008976,0.09718534,0.02645334,0.856994,0.233993,False,False
00031442120,56572.8553170325,,,,,5.4674859046936035,0.06720395386219025,,,,,,,0.033791,0.005793,0.029974,0.005459,0.06376473,0.015919512,0.887055,0.221869,False,False
00031442121,56574.8646642095,,,,,,,,,1.0910214185714722,0.07743913680315018,,,0.006717,0.007085,0.028037,0.014203,0.03475592,0.03247766,4.17388,4.883782,True,False
00031442122,56576.6378572304,,,,,5.4901347160339355,0.06832828372716904,,,,,,,0.037161,0.005828,0.044427,0.006357,0.08070016,0.01715702,1.195516,0.25381,False,False
00031442123,56578.659647544,,,,,,,,,1.1024982929229736,0.027818839997053146,,,0.035109,0.006023,0.043459,0.006701,0.07856787,0.018020228,1.237818,0.285523,False,False
00031442124,56584.8705639827,,,,,5.626831531524658,0.06794165074825287,,,,,,,0.038842,0.006001,0.041679,0.006214,0.08054732,0.017277892,1.073037,0.230395,False,False
00031442125,56586.8648996667,,,,,,,,,1.047278642654419,0.026105180382728577,,,0.03952,0.007067,0.040436,0.007022,0.07995458,0.01992093,1.023187,0.255039,False,False
00031442126,56590.2697251424,,,,,,,,,1.1325284242630005,0.030909474939107895,,,0.04118,0.006785,0.044519,0.007039,0.08460161,0.01942978,1.081073,0.246871,False,False
00031442127,56594.5684854109,,,,,,,,,1.0927834510803223,0.028555190190672874,,,0.031332,0.006024,0.03772,0.00666,0.06905054,0.017958968,1.203879,0.314248,False,False
00031442128,56598.5415668704,,,,,,,,,1.0112987756729126,0.027352869510650635,,,0.054844,0.007989,0.03978,0.006878,0.09464026,0.02108182,0.725339,0.163983,False,False
00031442130,56610.9801084827,,,,,,,,,1.1465727090835571,0.04407675564289093,,,0.028427,0.007485,0.024559,0.006968,0.05298657,0.0204526,0.863921,0.334398,False,False
00031442131,56614.5090708554,,,,,,,,,1.046566367149353,0.027349358424544334,,,0.041207,0.008925,0.035446,0.00826,0.07476256,0.0240251,0.860178,0.273651,False,False
00031442132,56618.704967985,,,,,,,,,1.0706549882888794,0.02766251564025879,,,0.044345,0.009001,0.030313,0.007474,0.07465828,0.02339988,0.68357,0.218314,False,False
00031442133,56622.7723655313,,,,,,,,,1.0448026657104492,0.027412744238972664,,,0.03459,0.005637,0.042726,0.006263,0.07640327,0.016753266,1.235216,0.270749,False,False
00031442134,56626.6468496285,,,,,,,,,1.0930311679840088,0.02833634801208973,,,0.040025,0.006055,0.042537,0.006248,0.08166251,0.017309164,1.062747,0.224102,False,False
00031442135,56630.3053317234,,,,,,,,,1.0760607719421387,0.0347539559006691,,,0.031303,0.009595,0.033309,0.009851,0.06460965,0.02750206,1.064069,0.453224,False,False
00031442136,56635.2370366065,,,,,,,2.0572588443756104,0.07633844017982483,,,,,0.037729,0.011544,0.035062,0.011235,0.07279021,0.03221642,0.92932,0.411749,False,False
00031442137,56638.6046782153,,,,,,,,,1.0678082704544067,0.03099381923675537,,,0.036738,0.006566,0.045233,0.007207,0.080859,0.019371932,1.231253,0.29481,False,False
00031442138,56642.2772384341,,,,,,,,,1.0182299613952637,0.029044609516859055,,,0.046464,0.006796,0.038734,0.0062,0.08519756,0.018398086,0.833623,0.180749,False,False
00031442139,56646.3192250764,,,,,,,,,1.0542001724243164,0.029406221583485603,,,0.038933,0.006425,0.033843,0.00597,0.07277608,0.017540454,0.869256,0.209973,False,False
00031442140,56650.1497806297,,,,,,,,,1.0062981843948364,0.026651235297322273,,,0.039217,0.006013,0.037624,0.005901,0.07684102,0.016850138,0.959379,0.210432,False,False
00031442141,56658.5439358241,,,,,,,,,1.0599476099014282,0.03338641673326492,,,0.028988,0.006251,0.036342,0.006953,0.06403647,0.01851431,1.253712,0.361415,False,False
00031442142,56662.8797099537,,,,,,,,,1.049359679222107,0.028052324429154396,,,0.031853,0.005426,0.033969,0.005577,0.06582239,0.015561768,1.066435,0.252295,False,False
00031442143,56666.8753947778,,,,,,,,,1.0558463335037231,0.02964707463979721,,,0.032455,0.005685,0.044362,0.006648,0.07683255,0.017494958,1.366898,0.315104,False,False
00031442144,56670.8178629121,,,,,,,,,1.0709789991378784,0.027208546176552773,,,0.031882,0.00534,0.039734,0.005939,0.07162955,0.01597256,1.246297,0.279762,False,False
00031442145,56674.2804307801,,,,,,,,,1.036447525024414,0.030685782432556152,,,0.028839,0.005689,0.032296,0.00599,0.06113537,0.016522684,1.119891,0.303241,False,False
00031442146,56678.6138192373,,,,,,,,,1.0592888593673706,0.02811531536281109,,,0.032999,0.005486,0.04377,0.006281,0.07676847,0.016678964,1.326404,0.291298,False,False
00031442147,56682.144294397,,,,,,,,,1.0791916847229004,0.02472444623708725,,,0.034271,0.005445,0.038248,0.005714,0.07251863,0.015785594,1.116061,0.243394,False,False
00031442148,56686.4723808866,,,,,,,,,,,,,0.028212,0.009903,0.032354,0.010408,0.06056823,0.0287327,1.146816,0.54602,False,False
00031442149,56720.3364583577,,,,,5.1487860679626465,0.059404488652944565,,,,,,,0.043483,0.005845,0.047495,0.006181,0.09097354,0.017011826,1.092254,0.204354,False,False
00031442150,56724.6650007836,,,,,5.2112531661987305,0.05919721722602844,,,,,,,0.029168,0.00447,0.044701,0.005524,0.07387542,0.014212668,1.532528,0.30173,False,False
00031442151,56728.2727102697,,,,,5.30048131942749,0.05978165566921234,,,,,,,0.036456,0.005723,0.04523,0.006332,0.08094147,0.017003982,1.240685,0.260956,False,False
00031442152,56732.5377655324,,,,,5.349494457244873,0.058808472007513046,,,,,,,0.034732,0.006451,0.035619,0.005623,0.07038343,0.016933208,1.025527,0.249996,False,False
00031442153,56736.5402331899,,,,,5.159524440765381,0.0679064616560936,,,,,,,0.041264,0.006348,0.044862,0.006593,0.08426712,0.018115358,1.087191,0.231302,False,False
00031442154,56740.7718682084,,,,,5.057437896728516,0.06427714228630066,,,,,,,0.040201,0.005645,0.061568,0.006925,0.10099,0.017799782,1.531518,0.275532,False,False
00031442155,56744.59492347,,,,,4.958426475524902,0.07767930626869202,,,,,,,0.038595,0.005449,0.039402,0.005509,0.0779956,0.015496156,1.020908,0.202841,False,False
00031442156,56748.7886571227,,,,,5.088444232940674,0.08040168881416321,,,,,,,0.036005,0.006446,0.047462,0.007229,0.08346627,0.019371362,1.31823,0.309863,False,False
00031442157,56752.1251245244,,,,,5.012215614318848,0.06537025421857834,,,,,,,0.037923,0.005074,0.046315,0.0056,0.08423677,0.015113676,1.221288,0.220244,False,False
00031442158,56764.3168111644,,,,,2.1692051887512207,0.04110047593712807,,,,,,,0.038157,0.00502,0.036803,0.004851,0.07373837,0.013853244,0.964532,0.179625,False,False
